gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,shared
Smp_245160,38.18718423991049,-1.5640983795753023,0.37480409537940623,-4.17310909581177,3.0047097482489175e-5,0.0050571143172650325,FALSE
Smp_245290,15.119786559562986,-1.7636971015022231,0.517694323447891,-3.406831061534229,6.572179237472565e-4,0.040406359983667206,FALSE
Smp_247180,173.68691172924648,-1.0347926232273301,0.24268265593302427,-4.263974362934749,2.008224961302334e-5,0.004156758864952674,TRUE
Smp_267080,57.59339907934245,-1.5353165884490092,0.41067175268503137,-3.7385492876266437,1.8508520975313812e-4,0.017959955172912944,TRUE
Smp_304500,30.398374349217,-1.8414382398348201,0.3722984625983335,-4.946134418560618,7.570169491419081e-7,3.81063406774308e-4,TRUE
Smp_308140,51.86594928856732,1.8479945547696046,0.3571128504269413,5.174819535506103,2.2813137294866906e-7,2.2967125971607257e-4,FALSE
Smp_313480,36.049748572586516,-2.314234115282707,0.46438039731536124,-4.983487952251154,6.244820375707308e-7,3.81063406774308e-4,TRUE
Smp_313560,239.73237986759676,-1.1876507565507504,0.3211159297706611,-3.6985108692644513,2.1686806484071269e-4,0.01984835675258068,FALSE
Smp_315000,45.78452657621302,-1.834391687666132,0.3760488612019527,-4.878067392101457,1.0713032470754779e-6,4.7934868621921664e-4,TRUE
Smp_315610,88.19485625011393,-1.1088149712269935,0.3298777700269273,-3.3612903686613467,7.757922126025256e-4,0.04594287117868192,TRUE
Smp_317970,6.8098023868921365,-2.3218592374908416,0.6743552290615733,-3.4430803490942306,5.751284132938249e-4,0.03613733350959773,FALSE
Smp_319430,4.118072707350342,4.996656354392272,1.3122760159309537,3.807626058644033,1.4030722160839054e-4,0.015067124837786366,FALSE
Smp_319450,4.25635784751806,5.0458009069782195,1.297138967116663,3.8899462855504567,1.0026641329518266e-4,0.012235540798172745,FALSE
Smp_319460,4.139686468925788,5.006984289087216,1.294551382427702,3.8677370068521366,1.0985004362263162e-4,0.013010768402009926,FALSE
Smp_321810,18.53045388945071,2.155435594185262,0.46957970416938877,4.5901378936252835,4.4295327975987735e-6,0.0015473486299810415,FALSE
Smp_322960,25.613340614698895,-1.81639076800423,0.50905407710592665,-3.568168588945936,3.594851814875466e-4,0.026083726591898202,TRUE
Smp_323640,148.25594979209322,1.6826591414059968,0.33908083138067246,4.962413046336267,6.962273859435274e-7,3.81063406774308e-4,FALSE
Smp_327950,28.424490479029938,1.457706658607312,0.38951638787509374,3.7423500114063364,1.823073480167399e-4,0.017906138791790528,TRUE
Smp_329690,286.637807935614,1.1552151107620756,0.2991589405598639,3.8615429931665655,1.1267317963798131e-4,0.013151736069627558,TRUE
Smp_330100,7.408872217310631,2.5800807803714623,0.6165653065677253,4.184602592601532,2.8566541273384292e-5,0.005001628769909502,FALSE
Smp_330120,47.29801574540051,1.4120649270054628,0.2786336569837452,5.067818950127188,4.0239987109020796e-7,3.456354210697465e-4,FALSE
Smp_330900,103.31612814030667,-2.500468167618898,0.4749290056787572,-5.264930416379367,1.402424650268299e-7,1.8825213555434802e-4,FALSE
Smp_332970,17.032503301626296,-1.4149711205275382,0.39009818929895307,-3.627217862944681,2.864915521192701e-4,0.022845573868996053,FALSE
Smp_336100,78.03021641043853,-1.379742029020673,0.35033977073279987,-3.9382968885738823,8.206201784323525e-5,0.011512482556328979,FALSE
