gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Smp_001170,468.02870028353146,-0.007035972925429924,0.32681475406375615,-0.021528932944249273,0.9828237236563734,0.9964877107159563
Smp_001180,94.77981136044431,-0.1426056600546399,0.2541278129471872,-0.5611572318700754,0.5746903554726115,0.9232020698155241
Smp_001210,64.84392349699996,-0.11422999387758162,0.40441938843376724,-0.2824542965656785,0.7775951864091997,0.9647105469832578
Smp_001360,240.24958970023192,0.08084344149629953,0.20742931518543714,0.3897397116893883,0.6967290282838903,0.9530306335092814
Smp_001390,29.866056430697704,-0.0844293470105803,0.3195893559253922,-0.26418072268430065,0.7916406646246877,0.9650772777501939
Smp_001410,81.95764283700683,0.3412823043891053,0.24629689910692487,1.3856540850761763,0.1658525547021132,0.6996363270234635
Smp_001420,82.09735699105327,0.0940389113293373,0.2989493319218018,0.31456471477894354,0.7530921735342342,0.9632643192381886
Smp_001500,478.19594673600307,0.14450899441482945,0.20301097657969658,0.7118284776985896,0.47657099587089685,0.8895475897206707
Smp_001530,103.7969827052865,-0.027782969470074366,0.228893861724542,-0.12137926836810178,0.9033906369049763,0.9830751161888643
Smp_001560,4.616477878367071,0.5327972184878649,0.6860581908557322,0.7766064534894594,0.43739099290309397,0.8784921407675033
Smp_001590,69.39260324623402,-0.26970178864703387,0.2583214111484923,-1.0440551073484179,0.2964598943107051,0.8012875553373038
Smp_001610,4.987899916549049,-0.5237250786839811,0.7424038629359212,-0.7054449805970167,0.48053336011072434,0.8903911814604025
Smp_001640,119.44932004393269,0.12242022242443977,0.31886427464769584,0.3839258021604911,0.7010334418193618,0.953065775704443
Smp_001780,6.897177132370286,-0.5369473061444476,0.5638461180074249,-0.9522940550552428,0.3409478719718482,0.8314434152585726
Smp_001830,1038.5893314004481,0.14697336163238042,0.20470398397292805,0.7179799766467542,0.4727696330747689,0.88892093748581
Smp_001900,2.044386586100195,-0.3589035684588128,0.9549771200079752,-0.37582425896844057,0.7070475516618029,NA
Smp_001940,53.05142616583148,0.3960538741302817,0.25994345088077275,1.5236155124828983,0.12760478578854068,0.652570192556528
Smp_001950,92.5302276477834,-0.3734038689470257,0.29361783518231777,-1.2717342892851382,0.20346754313082904,0.7367050393724234
Smp_001960,90.87818151752504,0.15592958480730262,0.2128295027126192,0.7326502332613737,0.4637717846818606,0.8863834749041569
Smp_001980,2.250509053069403,2.0502066248388866,1.0619421276659666,1.9306199193217977,0.0535300726806341,NA
Smp_002010,80.38115017629806,0.0488039109063985,0.2628099303667764,0.18570040651922082,0.852679709510234,0.9745256677161097
Smp_002080,976.5257534104942,0.30287669207512935,0.14634208635166768,2.069648585898255,0.03848526469507923,0.40759431864324347
Smp_002100,88.08723867434387,-0.3786944671474586,0.37118142198299725,-1.0202408976298536,0.30761422573140285,0.8111171170285197
Smp_002160,50.810541340087624,0.38930040825164736,0.25890960998503204,1.5036151353136464,0.13268049175596633,0.6572104771828456
Smp_002180,867.1939932563457,0.027118713558262956,0.1513651683288429,0.17916085885325467,0.857811396513883,0.9746956164746217
Smp_002230,195.8567983144024,0.2594121607703492,0.2718722616435235,0.9541692823024663,0.33999796081941697,0.8305561348012084
Smp_002280,107.3248919687313,0.07359258177344298,0.2606786299417908,0.2823115258426673,0.7777046485343363,0.9647105469832578
Smp_002380,84.86671082825174,0.1443598297251716,0.25867854761873005,0.5580664923863172,0.5767989803818789,0.9232020698155241
Smp_002410,664.0829327554338,-0.17726472638569649,0.14130519188509091,-1.2544813394390193,0.20966710418163786,0.7396981749271972
Smp_002510,184.2329733739733,-0.2849843411231995,0.26055269983090873,-1.0937685209485306,0.2740565135228554,0.7899968360461981
Smp_002550,279.7695815333964,0.15643063403748794,0.2735560793845313,0.5718411902577282,0.5674295690915625,0.9226888248462435
Smp_002600,38.30492760361933,-0.503971317759005,0.3142371873714791,-1.6037927336818656,0.10875974680307163,0.6208015597108001
Smp_002630,439.08572712802885,-1.0828375574454074,0.37317515001206875,-2.9016872034764045,0.003711589403379084,0.12009150094804334
Smp_002640,7.4151964554873855,-0.43659041806591214,0.535925365207988,-0.8146477968932768,0.4152739427715614,0.8737183351498884
Smp_002740,299.9999390714283,0.526526134877552,0.29857895921273353,1.7634401843514,0.07782627737675836,0.5441083663128575
Smp_002820,199.21849316744442,0.2959834751803313,0.23934148638612235,1.2366576294375902,0.21621421509043393,0.7418308481364451
