gene_id,Int-01_S42_L005,Int-02_S43_L005,Int-03_S44_L005,Int-04_S45_L005,Liv-01_S38_L005,Liv-02_S39_L005,Liv-03_S40_L005,Liv-04_S41_L005
Smp_044850,103.01544795961088,90.34145920933207,76.97107467221065,71.8450068920905,98.45901979941505,84.00339258643551,64.77733931938806,78.66371697756755
Smp_044920,170.490566373156,201.08260275625526,202.63813536153415,260.7355217010966,198.02432072017183,190.40768986258718,203.92866082029573,255.32375934244382
Smp_044950,21.11816683172023,26.228165576902857,16.49380171547371,17.60440566230032,15.48793569878439,6.533597201167207,26.3907678708618,20.665891748344016
Smp_044970,460.47905237946065,524.5633115380572,583.566413076046,562.8651864459805,536.546343850745,426.5505601333448,542.2103217104334,552.6459438508771
Smp_045010,73.14096805132372,93.25569982898794,92.67945725837609,98.96530750698558,70.80199176587149,107.33766830488982,79.17230361258541,77.99707530826613
Smp_045060,200.88012352124122,241.88197143143748,281.96546742166964,215.53502067627147,213.51225641895624,297.745358167477,189.53369652709839,219.32510920016716
Smp_045070,174.0961070517424,131.1408278845143,115.45661200831597,120.85186589795354,151.56051362381868,109.20441036236618,98.36558933684853,141.99467556120246
Smp_045220,1036.3354064736855,1617.4035439090096,2026.3813536153416,1759.0131819871426,1562.0689433345399,3635.4801569351816,2008.0975189010298,1611.9395563708333
Smp_045230,104.56067967900505,52.456331153805714,92.67945725837609,96.11053902120715,117.26579886222467,126.00508887965327,110.36139291451299,123.9953504900641
Smp_045250,118.98284239335057,84.51297797002032,103.67532506869189,91.8283862925395,100.67158204209854,115.73800756353337,122.35719649217745,127.3285588365712
Smp_045260,95.80436660243812,75.7702561110527,104.46074419800017,98.48951275935585,66.37686728050453,86.80350567265003,76.77314289705251,70.66401694595051
Smp_045300,12.361853755153305,37.88512805552635,36.12927994818051,44.72470627719541,17.700497941467873,39.20158320700324,16.794125008730237,35.998650142276674
Smp_045360,20.603089591922174,34.97088743587048,15.708382586165438,21.886558390967963,15.48793569878439,17.734049546025275,28.789928586394694,21.999175086946856
Smp_045400,140.10100922507078,148.62627160244952,165.7234362840454,159.86703520359208,194.70547735614662,200.67477117870706,206.32782153582863,197.99257578252173
Smp_045410,25.75386198990272,29.14240619655873,27.489669525789516,18.555995157559796,29.869590276227036,30.801243948359687,23.99160715532891,24.665741764152536
Smp_045420,36.05540678586381,49.54209053414984,34.55844168956396,33.305632334081686,38.71983924696097,45.73518040817045,31.189089301927584,33.998725134372414
Smp_045430,64.3846549747568,52.456331153805714,47.910566887804585,53.76480648216044,91.82133307136459,113.87126550605703,71.97482146598674,75.99715030036187
Smp_045480,168.4302574139638,180.68291841866414,167.29427454266192,161.2944194464813,149.34795138113518,131.60531505208232,244.7143929843549,180.6598923806848
Smp_045490,10.816622035759142,2.9142406196558732,20.42089736201507,17.60440566230032,22.12562242683484,18.667420574763447,28.789928586394694,29.332233449262475
Smp_045500,267.3250874551902,291.4240619655873,361.2927994818051,389.67589830875573,251.12581454457546,302.4122133111679,323.8866965969403,356.6532930762597
Smp_045510,382.18731193015634,332.22343064076955,355.0094464473389,308.7907912117002,293.16449715556166,557.222504156689,297.4959287260785,242.65756762571684
